time, Class, Hourly Wage, t1, t2, t3, t4, Remark, check
April 1, 休, 210, -1, -1, -1, -1, 換店長, -
April 2, 休, 210, -1, -1, -1, -1, , -
April 3, C, 420, 1200, 1600, 1800, 2200, 清明節補假, -
April 4, C, 420, 1230, 1530, 1730, 2200, 兒童節, -
April 5, C, 210, 1200, 1600, 1730, 2200, , -
April 6, C, 210, 1200, 1600, 1730, 2200, , -
April 7, 休, 210, -1, -1, -1, -1, , -
April 8, 休, 210, -1, -1, -1, -1, , -
April 9, 休, 210, -1, -1, -1, -1, , -
April 10, B18, 210, 1800, -1, -1, 2200, , -
April 11, B18, 210, 1730, -1, -1, 2200, , -
April 12, C, 210, 1200, 1600, 1800, 2200, , -
April 13, C, 210, 1130, 1600, 1730, 2200, , -
April 14, 休, 210, -1, -1, -1, -1, , -
April 15, 休, 210, -1, -1, -1, -1, , -
April 16, 休, 210, -1, -1, -1, -1, , -
April 17, B18, 210, 1800, -1, -1, 2200, , -
April 18, B18, 210, 1800, -1, -1, 2230, , -
April 19, C, 210, 1100, 1500, 1700, 2200, , -
April 20, C, 210, 1100, 1500, 1700, 2130, , -
April 21, 休, 210, -1, -1, -1, -1, , -
April 22, 休, 210, -1, -1, -1, -1, , -
April 23, 休, 210, -1, -1, -1, -1, , -
April 24, B18, 210, 1800, -1, -1, 2200, , -
April 25, B18, 210, 1800, -1, -1, 2200, , -
April 26, C, 210, 1100, 1500, 1700, 2200, , -
April 27, C, 210, 1100, 1500, 1700, 2200, 大掃除, -
April 28, 休, 210, -1, -1, -1, -1, , -
April 29, 休, 210, -1, -1, -1, -1, , -
April 30, 休, 210, -1, -1, -1, -1, , -
