time, Class, Hourly Wage, t1, t2, t3, t4, Remark, check
March 1, C, 210, 1200, 1600, 1800, 2200, , -
March 2, C, 210, 1200, 1600, 1800, 2130, , -
March 3, B18, 210, 1800, -1, -1, 2200, , -
March 4, B18, 210, 1800, -1, -1, 2200, , -
March 5, 休, 210, -1, -1, -1, -1, , -
March 6, B18, 210, 1800, -1, -1, 2200, , -
March 7, B18, 210, 1800, -1, -1, 2200, , -
March 8, ., 210, -1, -1, -1, -1, , -
March 9, C, 210, 1200, 1630, 1800, 2200, , -
March 10, B18, 210, 1800, -1, -1, 2200, , -
March 11, B18, 210, 1800, -1, -1, 2200, 大掃除, -
March 12, 休, 210, -1, -1, -1, -1, , -
March 13, B18, 210, 1800, -1, -1, 2200, , -
March 14, B18, 210, 1800, -1, -1, 2200, , -
March 15, C, 210, 1200, 1630, 1800, 2200, , -
March 16, C, 210, 1200, 1600, 1800, 2200, , -
March 17, ., 210, -1, -1, -1, -1, , -
March 18, B18, 210, 1800, -1, -1, 2200, , -
March 19, 休, 210, -1, -1, -1, -1, , -
March 20, B18, 210, 1800, -1, -1, 2200, 聚餐, -
March 21, B18, 210, 1800, -1, -1, 2200, , -
March 22, C, 210, 1200, 1600, 1800, 2200, , -
March 23, C, 210, 1200, 1630, 1800, 2200, , -
March 24, 休, 210, -1, -1, -1, -1, , -
March 25, 休, 210, -1, -1, -1, -1, , -
March 26, 休, 210, -1, -1, -1, -1, , -
March 27, B18, 210, 1800, -1, -1, 2200, , -
March 28, B18, 210, 1800, -1, -1, 2200, , -
March 29, 休, 210, -1, -1, -1, -1, , -
March 30, C, 210, 1200, 1630, 1800, 2200, , -
March 31, B18, 210, 1800, -1, -1, 2200, , -
