time, Class, Working hours, Hourly wage, Basic salary, Overtime pay, Total salary, Remark
July 1, 休, 0, 210, 0, 0, 0, 
July 2, 休, 0, 210, 0, 0, 0, 
July 3, C, 8.5, 210, 0, 0, 0, 
July 4, C, 8.5, 210, 0, 0, 0, 
July 5, C, 8.5, 210, 0, 0, 0, 
July 6, A, 5, 210, 0, 0, 0, 
July 7, 休, 0, 210, 0, 0, 0, 
July 8, 休, 0, 210, 0, 0, 0, 
July 9, 休, 0, 210, 0, 0, 0, 
July 10, C, 8.5, 210, 0, 0, 0, 
July 11, C, 8.5, 210, 0, 0, 0, 
July 12, C, 8.5, 210, 0, 0, 0, 
July 13, A, 5, 210, 0, 0, 0, 
July 14, 休, 0, 210, 0, 0, 0, 
July 15, 休, 0, 210, 0, 0, 0, 
July 16, 休, 0, 210, 0, 0, 0, 
July 17, C, 8.5, 210, 0, 0, 0, 
July 18, C, 8.5, 210, 0, 0, 0, 
July 19, C, 8.5, 210, 0, 0, 0, 
July 20, A, 5, 210, 0, 0, 0, 
July 21, 休, 0, 210, 0, 0, 0, 
July 22, 休, 0, 210, 0, 0, 0, 
July 23, 休, 0, 210, 0, 0, 0, 
July 24, C, 8.5, 210, 0, 0, 0, 
July 25, C, 8.5, 210, 0, 0, 0, 
July 26, C, 8.5, 210, 0, 0, 0, 
July 27, A, 5, 210, 0, 0, 0, 
July 28, 休, 0, 210, 0, 0, 0, 
July 29, 休, 0, 210, 0, 0, 0, 
July 30, 休, 0, 210, 0, 0, 0, 
July 31, C, 8.5, 210, 0, 0, 0,
