time, Class, Working hours, Hourly wage, Basic salary, Overtime pay, Total salary, Remark
June 1, A, 5, 210, 0, 0, 0, 
June 2, 休, 0, 210, 0, 0, 0, 
June 3, 休, 0, 210, 0, 0, 0, 
June 4, 休, 0, 210, 0, 0, 0, 
June 5, C, 8.5, 210, 0, 0, 0, 
June 6, C, 8.5, 210, 0, 0, 0, 
June 7, C, 8.5, 210, 0, 0, 0, 
June 8, A, 5, 210, 0, 0, 0, 
June 9, 休, 0, 210, 0, 0, 0, 
June 10, 休, 0, 210, 0, 0, 0, 
June 11, 休, 0, 210, 0, 0, 0, 
June 12, C, 8.5, 210, 0, 0, 0, 
June 13, C, 8.5, 210, 0, 0, 0, 
June 14, C, 8.5, 210, 0, 0, 0, 
June 15, A, 5, 210, 0, 0, 0, 
June 16, 休, 0, 210, 0, 0, 0, 
June 17, 休, 0, 210, 0, 0, 0, 
June 18, 休, 0, 210, 0, 0, 0, 
June 19, C, 8.5, 210, 0, 0, 0, 
June 20, C, 8.5, 210, 0, 0, 0, 
June 21, C, 8.5, 210, 0, 0, 0, 
June 22, A, 5, 210, 0, 0, 0, 
June 23, 休, 0, 210, 0, 0, 0, 
June 24, 休, 0, 210, 0, 0, 0, 
June 25, 休, 0, 210, 0, 0, 0, 
June 26, C, 8.5, 210, 0, 0, 0, 
June 27, C, 8.5, 210, 0, 0, 0, 
June 28, C, 8.5, 210, 0, 0, 0, 
June 29, A, 5, 210, 0, 0, 0, 
June 30, 休, 0, 210, 0, 0, 0, 
